cell_type,comparison,n_cells_test,n_cells_reference,gene,score,logfoldchange,pval,pval_adj
Cones,3dp_vs_ctrl,677,652,rbp4l,12.0973835,1.1700189,1.090306416389285e-33,1.2436580138544379e-29
Cones,3dp_vs_ctrl,677,652,gpx4b,8.6752405,1.3270094,4.126786212741625e-18,1.882887477425494e-14
Cones,3dp_vs_ctrl,677,652,arg2,8.458569,1.557736,2.7068017657477268e-17,1.0007523378027361e-13
Cones,3dp_vs_ctrl,677,652,guca1c,7.8822536,0.71119124,3.215279531109739e-15,7.335017194320647e-12
Cones,3dp_vs_ctrl,677,652,ckbb,7.8642397,0.7037397,3.713462851881951e-15,7.701384367271178e-12
Cones,3dp_vs_ctrl,677,652,atp2a3,7.444192,1.7881178,9.753954631084871e-14,1.7710441381769714e-10
Cones,3dp_vs_ctrl,677,652,rpsa,7.439688,0.9019308,1.0092304298558115e-13,1.7710441381769714e-10
Cones,3dp_vs_ctrl,677,652,nme2b.1,7.4073057,1.3964416,1.2889121733096163e-13,1.9602635606474853e-10
Cones,3dp_vs_ctrl,677,652,apoc1,7.367417,2.5636625,1.7396592259477538e-13,2.4804278700966317e-10
Cones,3dp_vs_ctrl,677,652,hmga1b,7.2899265,1.354546,3.1012357215528047e-13,4.161675912693184e-10
Cones,3dp_vs_ctrl,677,652,si:ch1073-469d17.2,7.1784096,0.73989236,7.052694384016372e-13,8.938506499031417e-10
Cones,3dp_vs_ctrl,677,652,rpl27,7.161539,1.0089175,7.97762063675347e-13,9.578603136118785e-10
Cones,3dp_vs_ctrl,677,652,cnga3b,7.1095695,1.657468,1.1640557776711207e-12,1.3277802228005638e-09
Cones,3dp_vs_ctrl,677,652,ncaldb,7.0873375,0.7159954,1.3671673645172583e-12,1.4622870019702648e-09
Cones,3dp_vs_ctrl,677,652,per1b,7.0830483,1.0886186,1.4101746391682735e-12,1.4622870019702648e-09
Cones,3dp_vs_ctrl,677,652,rcvrn3,7.0677505,1.010089,1.5746535131079402e-12,1.4967737747721431e-09
Cones,3dp_vs_ctrl,677,652,tent4b,7.057957,1.1628201,1.6896832832611392e-12,1.5418697896414547e-09
Cones,3dp_vs_ctrl,677,652,apoeb,6.940864,1.2295672,3.897087939865515e-12,3.419394891236615e-09
Cones,3dp_vs_ctrl,677,652,camkk1b,6.8331356,1.1770844,8.30782618892304e-12,7.0194977351074565e-09
Cones,3dp_vs_ctrl,677,652,tpd52l1,6.7620792,1.230922,1.360251289883571e-11,1.1082647384326394e-08
Cones,3dp_vs_ctrl,677,652,dedd1,6.63312,1.3094922,3.286645571503827e-11,2.4186530781521552e-08
Cones,3dp_vs_ctrl,677,652,dynll1,6.6196094,1.2995214,3.6014969542421133e-11,2.5675296880351665e-08
Cones,3dp_vs_ctrl,677,652,zgc:162144,6.565066,1.0510466,5.2009844560302475e-11,3.595456315012668e-08
Cones,3dp_vs_ctrl,677,652,nr1d2b,6.542548,1.1374727,6.04793878729714e-11,4.0579890457238134e-08
Cones,3dp_vs_ctrl,677,652,pfkfb3,6.5331836,1.0573839,6.438617860603089e-11,4.1966911215410937e-08
Cones,3dp_vs_ctrl,677,652,rpl8,6.5133104,0.88209254,7.351229009922549e-11,4.658432983426753e-08
Cones,3dp_vs_ctrl,677,652,rplp1,6.473779,0.7641566,9.558153542458291e-11,5.8932474801108376e-08
Cones,3dp_vs_ctrl,677,652,txn,6.423239,2.0636284,1.3340468206700403e-10,8.008844768406745e-08
Cones,3dp_vs_ctrl,677,652,rps7,6.3834934,0.79304916,1.7309317371836095e-10,1.0125063005222996e-07
Cones,3dp_vs_ctrl,677,652,si:ch211-132b12.7,6.331023,1.8846813,2.4354088139716524e-10,1.3889745318283826e-07
Cones,3dp_vs_ctrl,677,652,ppa1a,6.2911344,1.1966163,3.1515450978290895e-10,1.7535658126042689e-07
Cones,3dp_vs_ctrl,677,652,rpl3,6.2730484,0.828914,3.5404649731408133e-10,1.923062557910985e-07
Cones,3dp_vs_ctrl,677,652,mt-nd2,6.267401,0.594517,3.671234292356998e-10,1.9477178584079114e-07
Cones,3dp_vs_ctrl,677,652,rpl21,6.198132,0.81168777,5.713723356796149e-10,2.9624357031497856e-07
Cones,3dp_vs_ctrl,677,652,rps9,6.117711,0.833041,9.49290254124765e-10,4.812479681632947e-07
Cones,3dp_vs_ctrl,677,652,rps14,6.085471,0.81612754,1.1614925279392466e-09,5.637687029761284e-07
Cones,3dp_vs_ctrl,677,652,higd1a,6.081325,1.1524752,1.1919342382964748e-09,5.664915787136974e-07
Cones,3dp_vs_ctrl,677,652,ankrd33ab,5.995614,1.4950817,2.027178708630631e-09,9.351478678696235e-07
Cones,3dp_vs_ctrl,677,652,rpl12,5.9783864,0.7892818,2.253590019972822e-09,1.001333388065376e-06
Cones,3dp_vs_ctrl,677,652,rps8a,5.976313,0.7626287,2.2824414228466026e-09,1.001333388065376e-06
Cones,3dp_vs_ctrl,677,652,rps19,5.965662,0.7988207,2.4364449452934935e-09,1.048728651641141e-06
Cones,3dp_vs_ctrl,677,652,rpl17,5.91648,0.8246327,3.2890462869381448e-09,1.3398752311414267e-06
Cones,3dp_vs_ctrl,677,652,eef1a1l1,5.8634377,0.8967958,4.533806646754102e-09,1.7832712246965744e-06
Cones,3dp_vs_ctrl,677,652,crema,5.823835,1.0604234,5.751236794062385e-09,2.192338033252423e-06
Cones,3dp_vs_ctrl,677,652,faua,5.823406,0.8114814,5.7660229691467745e-09,2.192338033252423e-06
Cones,3dp_vs_ctrl,677,652,ppm1e,5.8130407,1.3424038,6.134813950720307e-09,2.294319846848891e-06
Cones,3dp_vs_ctrl,677,652,rps5,5.799816,0.74602383,6.6387756395011395e-09,2.4427482042570888e-06
Cones,3dp_vs_ctrl,677,652,rps13,5.760499,0.87258846,8.386562276928118e-09,3.036867384500971e-06
Cones,3dp_vs_ctrl,677,652,mtmr10,5.74899,1.2257559,8.977819226525966e-09,3.2001717189802636e-06
Cones,3dp_vs_ctrl,677,652,rpl14,5.738053,0.86779106,9.577135848226693e-09,3.361280001624547e-06
Cones,7dp_vs_ctrl,476,652,hsp70l,9.875073,2.2632017,5.339379209465779e-23,4.06024193018476e-19
Cones,7dp_vs_ctrl,476,652,rbp4l,9.753025,1.0452051,1.7905113567728696e-22,1.0211733895514869e-18
Cones,7dp_vs_ctrl,476,652,ckbb,8.912661,0.8769045,4.9822348702948675e-19,1.4207465512004602e-15
Cones,7dp_vs_ctrl,476,652,hsp90ab1,8.749344,1.2421811,2.145972495737134e-18,4.8956070545251235e-15
Cones,7dp_vs_ctrl,476,652,arr3a,8.327773,1.1816704,8.237710279180321e-17,1.3423348899924332e-13
Cones,7dp_vs_ctrl,476,652,hsp70.3,7.926467,1.9524806,2.2546832293172784e-15,3.429072567361005e-12
Cones,7dp_vs_ctrl,476,652,hsp90aa1.2,7.757876,1.0368866,8.636355120637524e-15,1.231382308544399e-11
Cones,7dp_vs_ctrl,476,652,slc25a5,7.564764,0.6090558,3.8856894132809e-14,4.665485925535641e-11
Cones,7dp_vs_ctrl,476,652,fabp7a,7.514057,1.5407195,5.732248761177272e-14,6.538489549436855e-11
Cones,7dp_vs_ctrl,476,652,rpsa,7.1468024,0.9382297,8.882254488146761e-13,9.210494165367821e-10
Cones,7dp_vs_ctrl,476,652,hsp70.2,7.089896,1.7928948,1.342128011367283e-12,1.275748596805076e-09
Cones,7dp_vs_ctrl,476,652,rpl8,7.0225334,1.0410914,2.17880600722797e-12,1.988204057715667e-09
Cones,7dp_vs_ctrl,476,652,rpl31,6.9665523,1.0637628,3.2480184736398583e-12,2.8498863630440804e-09
Cones,7dp_vs_ctrl,476,652,rps6,6.735503,1.1159861,1.6336378847714517e-11,1.2021993892029397e-08
Cones,7dp_vs_ctrl,476,652,rpl19,6.5690403,0.89656293,5.064065685628398e-11,3.30075801389259e-08
Cones,7dp_vs_ctrl,476,652,rps8a,6.477157,0.899655,9.346694453839695e-11,5.611214225669604e-08
Cones,7dp_vs_ctrl,476,652,rpl10,6.4383864,0.9108553,1.207501549607145e-10,7.063264833637897e-08
Cones,7dp_vs_ctrl,476,652,hsp70.1,6.3524256,1.6500965,2.1194617181360518e-10,1.2087820043959437e-07
Cones,7dp_vs_ctrl,476,652,es1,6.332161,0.9255457,2.417507334527828e-10,1.3451364590873985e-07
