sample,condition,cell_type,n_cells,egfp_positive,mean_egfp,median_egfp,egfp_positive_fraction,egfp_positive_percent
ctrl1,ctrl,Muller glia,76,2,0.0568,0.0,0.0263,2.63
ctrl1,ctrl,Rods,119,0,0.0,0.0,0.0,0.0
ctrl1,ctrl,Cones,240,3,0.0215,0.0,0.0125,1.25
ctrl1,ctrl,Bipolar cells,214,0,0.0,0.0,0.0,0.0
ctrl1,ctrl,Amacrine cells,63,0,0.0,0.0,0.0,0.0
ctrl1,ctrl,Horizontal cells,72,0,0.0,0.0,0.0,0.0
ctrl1,ctrl,Microglia,20,0,0.0,0.0,0.0,0.0
ctrl1,ctrl,Oligodendrocytes,5,0,0.0,0.0,0.0,0.0
ctrl1,ctrl,Erythrocytes,3,0,0.0,0.0,0.0,0.0
ctrl1,ctrl,RPE,79,0,0.0,0.0,0.0,0.0
ctrl1,ctrl,Unresolved,7,0,0.0,0.0,0.0,0.0
ctrl1,ctrl,Rods (low quality),8,0,0.0,0.0,0.0,0.0
ctrl2,ctrl,Muller glia,135,4,0.081,0.0,0.0296,2.96
ctrl2,ctrl,Rods,180,0,0.0,0.0,0.0,0.0
ctrl2,ctrl,Cones,412,3,0.0154,0.0,0.0073,0.73
ctrl2,ctrl,Bipolar cells,449,0,0.0,0.0,0.0,0.0
ctrl2,ctrl,Amacrine cells,161,0,0.0,0.0,0.0,0.0
ctrl2,ctrl,Horizontal cells,171,2,0.0148,0.0,0.0117,1.17
ctrl2,ctrl,Retinal ganglion cells,10,0,0.0,0.0,0.0,0.0
ctrl2,ctrl,Microglia,36,0,0.0,0.0,0.0,0.0
ctrl2,ctrl,Oligodendrocytes,12,0,0.0,0.0,0.0,0.0
ctrl2,ctrl,Erythrocytes,2,0,0.0,0.0,0.0,0.0
ctrl2,ctrl,Pericytes,3,0,0.0,0.0,0.0,0.0
ctrl2,ctrl,RPE,23,0,0.0,0.0,0.0,0.0
ctrl2,ctrl,Unresolved,8,0,0.0,0.0,0.0,0.0
ctrl2,ctrl,Rods (low quality),7,0,0.0,0.0,0.0,0.0
3dp1,3dp,Muller glia,199,38,0.2207,0.0,0.191,19.1
3dp1,3dp,Rods,945,8,0.013,0.0,0.0085,0.85
3dp1,3dp,Cones,282,9,0.0269,0.0,0.0319,3.19
3dp1,3dp,Bipolar cells,190,8,0.0502,0.0,0.0421,4.21
3dp1,3dp,Amacrine cells,101,8,0.0749,0.0,0.0792,7.92
3dp1,3dp,Horizontal cells,56,4,0.058,0.0,0.0714,7.14
3dp1,3dp,Retinal ganglion cells,2,0,0.0,0.0,0.0,0.0
3dp1,3dp,Microglia,82,1,0.0072,0.0,0.0122,1.22
3dp1,3dp,Oligodendrocytes,23,2,0.1431,0.0,0.087,8.7
3dp1,3dp,Erythrocytes,34,1,0.0726,0.0,0.0294,2.94
3dp1,3dp,Pericytes,2,0,0.0,0.0,0.0,0.0
3dp1,3dp,RPE,77,0,0.0,0.0,0.0,0.0
3dp1,3dp,Unresolved,121,2,0.0273,0.0,0.0165,1.65
3dp1,3dp,Rods (low quality),203,3,0.0342,0.0,0.0148,1.48
3dp2,3dp,Muller glia,272,61,0.2381,0.0,0.2243,22.43
3dp2,3dp,Rods,474,11,0.0372,0.0,0.0232,2.32
3dp2,3dp,Cones,395,32,0.0414,0.0,0.081,8.1
3dp2,3dp,Bipolar cells,241,11,0.0694,0.0,0.0456,4.56
3dp2,3dp,Amacrine cells,88,5,0.0742,0.0,0.0568,5.68
3dp2,3dp,Horizontal cells,97,8,0.1159,0.0,0.0825,8.25
3dp2,3dp,Retinal ganglion cells,3,0,0.0,0.0,0.0,0.0
3dp2,3dp,Microglia,84,2,0.0356,0.0,0.0238,2.38
3dp2,3dp,Oligodendrocytes,20,0,0.0,0.0,0.0,0.0
3dp2,3dp,Erythrocytes,54,0,0.0,0.0,0.0,0.0
3dp2,3dp,Pericytes,5,1,0.3808,0.0,0.2,20.0
3dp2,3dp,RPE,44,0,0.0,0.0,0.0,0.0
3dp2,3dp,Unresolved,44,0,0.0,0.0,0.0,0.0
3dp2,3dp,Rods (low quality),23,1,0.1079,0.0,0.0435,4.35
7dp1,7dp,Muller glia,259,35,0.1056,0.0,0.1351,13.51
7dp1,7dp,Rods,737,11,0.0291,0.0,0.0149,1.49
7dp1,7dp,Cones,262,11,0.0333,0.0,0.042,4.2
7dp1,7dp,Bipolar cells,167,4,0.0408,0.0,0.024,2.4
7dp1,7dp,Amacrine cells,208,15,0.0683,0.0,0.0721,7.21
7dp1,7dp,Horizontal cells,97,4,0.0433,0.0,0.0412,4.12
7dp1,7dp,Retinal ganglion cells,17,0,0.0,0.0,0.0,0.0
7dp1,7dp,Microglia,122,2,0.025,0.0,0.0164,1.64
7dp1,7dp,Oligodendrocytes,17,0,0.0,0.0,0.0,0.0
7dp1,7dp,Erythrocytes,23,0,0.0,0.0,0.0,0.0
7dp1,7dp,Pericytes,4,0,0.0,0.0,0.0,0.0
7dp1,7dp,RPE,172,0,0.0,0.0,0.0,0.0
7dp1,7dp,Unresolved,35,2,0.0032,0.0,0.0571,5.71
7dp1,7dp,Rods (low quality),442,4,0.0188,0.0,0.009,0.9
7dp2,7dp,Muller glia,136,6,0.0721,0.0,0.0441,4.41
7dp2,7dp,Rods,258,3,0.0194,0.0,0.0116,1.16
7dp2,7dp,Cones,214,4,0.036,0.0,0.0187,1.87
7dp2,7dp,Bipolar cells,134,0,0.0,0.0,0.0,0.0
7dp2,7dp,Amacrine cells,167,1,0.0041,0.0,0.006,0.6
7dp2,7dp,Horizontal cells,60,0,0.0,0.0,0.0,0.0
7dp2,7dp,Retinal ganglion cells,16,0,0.0,0.0,0.0,0.0
7dp2,7dp,Microglia,60,1,0.0239,0.0,0.0167,1.67
7dp2,7dp,Oligodendrocytes,9,0,0.0,0.0,0.0,0.0
7dp2,7dp,Erythrocytes,8,0,0.0,0.0,0.0,0.0
7dp2,7dp,Pericytes,6,1,0.3387,0.0,0.1667,16.67
7dp2,7dp,RPE,51,0,0.0,0.0,0.0,0.0
