cell_type,ctrl,3dp,7dp,10dp,analysis
Muller glia,8.39,11.32,10.6,13.3,uncorrected
Rods,11.89,34.1,26.7,29.16,uncorrected
Cones,25.92,16.27,12.77,14.74,uncorrected
Bipolar cells,26.36,10.36,8.08,6.61,uncorrected
Amacrine cells,8.91,4.54,10.06,8.85,uncorrected
Horizontal cells,9.66,3.68,4.21,2.9,uncorrected
Retinal ganglion cells,0.4,0.12,0.89,0.89,uncorrected
Microglia,2.23,3.99,4.88,4.68,uncorrected
Oligodendrocytes,0.68,1.03,0.7,0.78,uncorrected
Erythrocytes,0.2,2.11,0.83,1.42,uncorrected
Pericytes,0.12,0.17,0.27,0.56,uncorrected
RPE,4.06,2.91,5.98,7.3,uncorrected
Unresolved,0.6,3.97,1.42,2.4,uncorrected
Rods (low quality),0.6,5.43,12.61,6.39,uncorrected
Amacrine cells,9.58,4.37,9.63,8.38,integrated
Bipolar cells,25.92,11.01,9.23,8.12,integrated
Cones,26.96,17.14,13.47,15.14,integrated
Erythrocytes,0.24,2.11,0.83,1.46,integrated
Horizontal cells,7.04,3.29,4.19,3.11,integrated
Microglia,2.82,7.98,6.28,6.58,integrated
Muller glia,9.62,10.91,10.84,13.21,integrated
Oligodendrocytes,0.68,1.18,0.67,0.77,integrated
Pericytes,0.12,0.24,0.27,0.71,integrated
RPE,4.06,2.86,5.98,7.03,integrated
Retinal ganglion cells,0.36,0.26,0.21,0.2,integrated
Rods,12.6,38.64,38.4,35.3,integrated
