leiden_res_0.2,n_cells,rho,rhol,nr2e3,gnat1,sagb,pde6b
0,1894,6.275,1.689,0.322,4.538,3.573,3.911
1,2922,5.098,1.006,0.291,3.402,2.202,1.871
2,1540,3.154,0.263,0.096,1.538,0.718,0.574
3,3470,7.487,1.256,0.148,5.075,2.933,1.866
4,1709,3.357,0.316,0.081,1.791,0.837,0.683
5,1547,4.293,0.507,0.32,2.544,1.474,1.208
6,129,3.18,0.177,0.057,1.51,0.653,0.546
7,580,3.21,0.213,0.043,1.514,0.68,0.531
8,199,4.5,0.335,0.077,2.222,0.828,0.499
9,851,3.866,0.304,0.053,2.039,0.734,0.562
10,1001,3.087,0.142,0.043,1.338,0.501,0.33
11,51,3.612,0.334,0.046,1.469,0.635,0.547
