cell_type,comparison,n_cells_test,n_cells_reference,gene,score,logfoldchange,pval,pval_adj
Rods,3dp_vs_ctrl,1419,299,rbp4l,17.44488,2.244147,3.765062832562217e-68,8.589237839924185e-64
Rods,3dp_vs_ctrl,1419,299,mt-nd1,16.983492,3.3473935,1.0881404411227464e-64,1.2411873941666606e-60
Rods,3dp_vs_ctrl,1419,299,zgc:162144,16.40634,2.9123478,1.722820968184051e-60,1.3100904915727584e-56
Rods,3dp_vs_ctrl,1419,299,mt-nd2,15.998633,3.101456,1.306106447678113e-57,5.959241278176159e-54
Rods,3dp_vs_ctrl,1419,299,mt-atp6,15.114274,2.4441783,1.3039977021083672e-51,4.958016596366363e-48
Rods,3dp_vs_ctrl,1419,299,mt-co1,13.81355,1.9582968,2.111635458198392e-43,6.88181995826856e-40
Rods,3dp_vs_ctrl,1419,299,guca1a,13.506599,2.9814777,1.429748518483967e-41,3.62409477246386e-38
Rods,3dp_vs_ctrl,1419,299,mt-co2,12.290726,1.7739431,1.0158989347986509e-34,1.7827463384278171e-31
Rods,3dp_vs_ctrl,1419,299,si:dkey-151g10.6,11.93484,2.000485,7.790860126969133e-33,1.2695206576896202e-29
Rods,3dp_vs_ctrl,1419,299,dyrk4,11.590306,3.0553305,4.614804167734354e-31,6.579845467407738e-28
Rods,3dp_vs_ctrl,1419,299,mt-co3,11.410471,1.59762,3.7071553521693045e-30,4.698407502724352e-27
Rods,3dp_vs_ctrl,1419,299,gpx4b,11.189718,2.6748736,4.5788680910324365e-29,5.497774618985419e-26
Rods,3dp_vs_ctrl,1419,299,atp1a3b,11.135075,1.3125865,8.46736789130795e-29,9.658303185220413e-26
Rods,3dp_vs_ctrl,1419,299,atp5f1b,10.818248,2.3479125,2.8212009685841583e-27,3.0647646522052574e-24
Rods,3dp_vs_ctrl,1419,299,mt-cyb,10.387965,1.9930838,2.812904845264175e-25,2.673783259792151e-22
Rods,3dp_vs_ctrl,1419,299,atp5l,10.091725,2.3007061,6.010393064510613e-24,5.078336925210393e-21
