sample,condition,replicate,cell_type,cell_count,proportion,percent
ctrl1,ctrl,1,Muller glia,76,0.08388520971302428,8.39
ctrl1,ctrl,1,Rods,119,0.13134657836644592,13.13
ctrl1,ctrl,1,Cones,240,0.26490066225165565,26.49
ctrl1,ctrl,1,Bipolar cells,214,0.23620309050772628,23.62
ctrl1,ctrl,1,Amacrine cells,63,0.0695364238410596,6.95
ctrl1,ctrl,1,Microglia,20,0.02207505518763797,2.21
ctrl1,ctrl,1,Oligodendrocytes,5,0.005518763796909493,0.55
ctrl1,ctrl,1,Erythrocytes,3,0.0033112582781456954,0.33
ctrl1,ctrl,1,RPE,79,0.08719646799116998,8.72
ctrl1,ctrl,1,Unresolved,79,0.08719646799116998,8.72
ctrl1,ctrl,1,Rods (low quality),8,0.008830022075055188,0.88
ctrl2,ctrl,2,Muller glia,135,0.0839030453697949,8.39
ctrl2,ctrl,2,Rods,180,0.11187072715972654,11.19
ctrl2,ctrl,2,Cones,412,0.2560596643878185,25.61
ctrl2,ctrl,2,Bipolar cells,449,0.2790553138595401,27.91
ctrl2,ctrl,2,Amacrine cells,161,0.10006215040397763,10.01
ctrl2,ctrl,2,Retinal ganglion cells,10,0.006215040397762586,0.62
ctrl2,ctrl,2,Microglia,36,0.022374145431945307,2.24
ctrl2,ctrl,2,Oligodendrocytes,12,0.0074580484773151025,0.75
ctrl2,ctrl,2,Erythrocytes,2,0.001243008079552517,0.12
ctrl2,ctrl,2,Pericytes,3,0.0018645121193287756,0.19
ctrl2,ctrl,2,RPE,23,0.014294592914853946,1.43
ctrl2,ctrl,2,Unresolved,179,0.11124922311995028,11.12
ctrl2,ctrl,2,Rods (low quality),7,0.00435052827843381,0.44
3dp1,3dp,1,Muller glia,199,0.08588692274492879,8.59
3dp1,3dp,1,Rods,945,0.4078549848942598,40.79
3dp1,3dp,1,Cones,282,0.12170910660336642,12.17
3dp1,3dp,1,Bipolar cells,190,0.08200258955545965,8.2
3dp1,3dp,1,Amacrine cells,101,0.04359085023737592,4.36
3dp1,3dp,1,Retinal ganglion cells,2,0.0008631851532153647,0.09
3dp1,3dp,1,Microglia,82,0.035390591281829954,3.54
3dp1,3dp,1,Oligodendrocytes,23,0.009926629261976695,0.99
3dp1,3dp,1,Erythrocytes,34,0.0146741476046612,1.47
3dp1,3dp,1,Pericytes,2,0.0008631851532153647,0.09
3dp1,3dp,1,RPE,77,0.03323262839879154,3.32
3dp1,3dp,1,Unresolved,177,0.07639188605955978,7.64
3dp1,3dp,1,Rods (low quality),203,0.08761329305135952,8.76
3dp2,3dp,2,Muller glia,272,0.1475054229934924,14.75
3dp2,3dp,2,Rods,474,0.25704989154013014,25.7
3dp2,3dp,2,Cones,395,0.21420824295010846,21.42
3dp2,3dp,2,Bipolar cells,241,0.1306941431670282,13.07
3dp2,3dp,2,Amacrine cells,88,0.04772234273318872,4.77
3dp2,3dp,2,Retinal ganglion cells,3,0.0016268980477223427,0.16
3dp2,3dp,2,Microglia,84,0.0455531453362256,4.56
3dp2,3dp,2,Oligodendrocytes,20,0.010845986984815618,1.08
3dp2,3dp,2,Erythrocytes,54,0.02928416485900217,2.93
3dp2,3dp,2,Pericytes,5,0.0027114967462039045,0.27
3dp2,3dp,2,RPE,44,0.02386117136659436,2.39
3dp2,3dp,2,Unresolved,141,0.07646420824295011,7.65
3dp2,3dp,2,Rods (low quality),23,0.012472885032537961,1.25
7dp1,7dp,1,Muller glia,259,0.10109289617486339,10.11
7dp1,7dp,1,Rods,737,0.28766588602654175,28.77
7dp1,7dp,1,Cones,262,0.10226385636221702,10.23
7dp1,7dp,1,Bipolar cells,167,0.06518345042935207,6.52
7dp1,7dp,1,Amacrine cells,208,0.08118657298985169,8.12
7dp1,7dp,1,Retinal ganglion cells,17,0.00663544106167057,0.66
7dp1,7dp,1,Microglia,122,0.047619047619047616,4.76
7dp1,7dp,1,Oligodendrocytes,17,0.00663544106167057,0.66
7dp1,7dp,1,Erythrocytes,23,0.00897736143637783,0.9
7dp1,7dp,1,Pericytes,4,0.00156128024980484,0.16
7dp1,7dp,1,RPE,172,0.06713505074160812,6.71
7dp1,7dp,1,Unresolved,132,0.05152224824355972,5.15
7dp1,7dp,1,Rods (low quality),442,0.1725214676034348,17.25
7dp2,7dp,2,Muller glia,136,0.1167381974248927,11.67
7dp2,7dp,2,Rods,258,0.22145922746781116,22.15
7dp2,7dp,2,Cones,214,0.18369098712446352,18.37
7dp2,7dp,2,Bipolar cells,134,0.11502145922746781,11.5
7dp2,7dp,2,Amacrine cells,167,0.14334763948497853,14.33
7dp2,7dp,2,Retinal ganglion cells,16,0.013733905579399141,1.37
7dp2,7dp,2,Microglia,60,0.05150214592274678,5.15
7dp2,7dp,2,Oligodendrocytes,9,0.007725321888412017,0.77
7dp2,7dp,2,Erythrocytes,8,0.0068669527896995704,0.69
7dp2,7dp,2,Pericytes,6,0.005150214592274678,0.52
7dp2,7dp,2,RPE,51,0.04377682403433476,4.38
7dp2,7dp,2,Unresolved,78,0.06695278969957082,6.7
7dp2,7dp,2,Rods (low quality),28,0.0240343347639485,2.4
10dp1,10dp,1,Muller glia,415,0.12451245124512451,12.45
10dp1,10dp,1,Rods,1070,0.32103210321032105,32.1
10dp1,10dp,1,Cones,457,0.13711371137113712,13.71
10dp1,10dp,1,Bipolar cells,201,0.06030603060306031,6.03
10dp1,10dp,1,Amacrine cells,283,0.0849084908490849,8.49
10dp1,10dp,1,Retinal ganglion cells,33,0.009900990099009901,0.99
10dp1,10dp,1,Microglia,149,0.0447044704470447,4.47
10dp1,10dp,1,Oligodendrocytes,19,0.005700570057005701,0.57
10dp1,10dp,1,Erythrocytes,64,0.019201920192019203,1.92
10dp1,10dp,1,Pericytes,22,0.006600660066006601,0.66
10dp1,10dp,1,RPE,173,0.0519051905190519,5.19
10dp1,10dp,1,Unresolved,197,0.05910591059105911,5.91
10dp1,10dp,1,Rods (low quality),250,0.075007500750075,7.5
10dp2,10dp,2,Muller glia,315,0.14603616133518776,14.6
10dp2,10dp,2,Rods,531,0.24617524339360222,24.62
10dp2,10dp,2,Cones,352,0.16318961520630507,16.32
10dp2,10dp,2,Bipolar cells,162,0.07510431154381085,7.51
10dp2,10dp,2,Amacrine cells,203,0.09411219286045433,9.41
10dp2,10dp,2,Retinal ganglion cells,16,0.007417709782104775,0.74
10dp2,10dp,2,Microglia,108,0.05006954102920723,5.01
10dp2,10dp,2,Oligodendrocytes,24,0.011126564673157162,1.11
10dp2,10dp,2,Erythrocytes,14,0.006490496059341678,0.65
10dp2,10dp,2,Pericytes,9,0.004172461752433936,0.42
10dp2,10dp,2,RPE,228,0.10570236439499305,10.57
10dp2,10dp,2,Unresolved,94,0.04357904496986555,4.36
10dp2,10dp,2,Rods (low quality),101,0.046824292999536395,4.68
