leiden_res_0.6,condition,sample,n_cells,pct_of_cluster
0,ctrl,ctrl1,83,4.41
0,ctrl,ctrl2,171,9.09
0,3dp,3dp1,312,16.59
0,3dp,3dp2,387,20.57
0,7dp,7dp1,213,11.32
0,7dp,7dp2,168,8.93
0,10dp,10dp1,327,17.38
0,10dp,10dp2,220,11.7
1,ctrl,ctrl1,2,13.33
1,7dp,7dp1,3,20.0
1,7dp,7dp2,4,26.67
1,10dp,10dp1,3,20.0
1,10dp,10dp2,3,20.0
2,ctrl,ctrl1,36,1.48
2,ctrl,ctrl2,9,0.37
2,3dp,3dp1,633,26.02
2,3dp,3dp2,87,3.58
2,7dp,7dp1,524,21.54
2,7dp,7dp2,90,3.7
2,10dp,10dp1,743,30.54
2,10dp,10dp2,311,12.78
3,ctrl,ctrl1,63,4.95
3,ctrl,ctrl2,161,12.64
3,3dp,3dp1,101,7.93
3,3dp,3dp2,88,6.91
3,7dp,7dp1,208,16.33
3,7dp,7dp2,167,13.11
3,10dp,10dp1,283,22.21
3,10dp,10dp2,203,15.93
4,ctrl,ctrl1,8,0.75
4,ctrl,ctrl2,7,0.66
4,3dp,3dp1,203,19.11
4,3dp,3dp2,23,2.17
4,7dp,7dp1,442,41.62
4,7dp,7dp2,28,2.64
4,10dp,10dp1,250,23.54
4,10dp,10dp2,101,9.51
5,ctrl,ctrl1,3,1.49
5,ctrl,ctrl2,2,0.99
5,3dp,3dp1,34,16.83
5,3dp,3dp2,54,26.73
5,7dp,7dp1,23,11.39
5,7dp,7dp2,8,3.96
5,10dp,10dp1,64,31.68
5,10dp,10dp2,14,6.93
6,ctrl,ctrl1,56,3.81
6,ctrl,ctrl2,83,5.64
6,3dp,3dp1,178,12.1
6,3dp,3dp2,248,16.86
6,7dp,7dp1,206,14.0
6,7dp,7dp2,103,7.0
6,10dp,10dp1,346,23.52
6,10dp,10dp2,251,17.06
7,ctrl,ctrl1,20,5.95
7,ctrl,ctrl2,52,15.48
7,3dp,3dp1,21,6.25
7,3dp,3dp2,24,7.14
7,7dp,7dp1,53,15.77
7,7dp,7dp2,33,9.82
7,10dp,10dp1,69,20.54
7,10dp,10dp2,64,19.05
8,ctrl,ctrl1,72,10.11
8,ctrl,ctrl2,171,24.02
8,3dp,3dp1,56,7.87
8,3dp,3dp2,97,13.62
8,7dp,7dp1,97,13.62
8,7dp,7dp2,60,8.43
8,10dp,10dp1,102,14.33
8,10dp,10dp2,57,8.01
9,ctrl,ctrl1,145,9.21
9,ctrl,ctrl2,172,10.93
9,3dp,3dp1,175,11.12
9,3dp,3dp2,187,11.88
9,7dp,7dp1,219,13.91
9,7dp,7dp2,177,11.25
9,10dp,10dp1,259,16.45
9,10dp,10dp2,240,15.25
10,ctrl,ctrl1,95,9.13
10,ctrl,ctrl2,240,23.08
10,3dp,3dp1,107,10.29
10,3dp,3dp2,208,20.0
10,7dp,7dp1,43,4.13
10,7dp,7dp2,37,3.56
10,10dp,10dp1,198,19.04
10,10dp,10dp2,112,10.77
11,ctrl,ctrl1,77,10.13
11,ctrl,ctrl2,19,2.5
11,3dp,3dp1,69,9.08
11,3dp,3dp2,36,4.74
11,7dp,7dp1,163,21.45
11,7dp,7dp2,47,6.18
11,10dp,10dp1,155,20.39
11,10dp,10dp2,194,25.53
12,ctrl,ctrl1,2,2.3
12,ctrl,ctrl2,4,4.6
12,3dp,3dp1,8,9.2
12,3dp,3dp2,8,9.2
12,7dp,7dp1,9,10.34
12,7dp,7dp2,4,4.6
12,10dp,10dp1,18,20.69
12,10dp,10dp2,34,39.08
13,ctrl,ctrl1,208,12.81
13,ctrl,ctrl2,426,26.23
13,3dp,3dp1,169,10.41
13,3dp,3dp2,221,13.61
13,7dp,7dp1,152,9.36
13,7dp,7dp2,129,7.94
13,10dp,10dp1,178,10.96
13,10dp,10dp2,141,8.68
14,ctrl,ctrl1,5,1.43
14,ctrl,ctrl2,8,2.29
14,3dp,3dp1,121,34.57
14,3dp,3dp2,44,12.57
14,7dp,7dp1,32,9.14
14,7dp,7dp2,14,4.0
14,10dp,10dp1,92,26.29
14,10dp,10dp2,34,9.71
15,ctrl,ctrl2,10,10.31
15,3dp,3dp1,2,2.06
15,3dp,3dp2,3,3.09
15,7dp,7dp1,17,17.53
15,7dp,7dp2,16,16.49
15,10dp,10dp1,33,34.02
15,10dp,10dp2,16,16.49
16,ctrl,ctrl1,20,3.03
16,ctrl,ctrl2,36,5.45
16,3dp,3dp1,82,12.41
16,3dp,3dp2,84,12.71
16,7dp,7dp1,122,18.46
16,7dp,7dp2,60,9.08
16,10dp,10dp1,149,22.54
16,10dp,10dp2,108,16.34
17,ctrl,ctrl1,6,4.48
17,ctrl,ctrl2,23,17.16
17,3dp,3dp1,21,15.67
17,3dp,3dp2,20,14.93
17,7dp,7dp1,15,11.19
17,7dp,7dp2,5,3.73
17,10dp,10dp1,23,17.16
17,10dp,10dp2,21,15.67
18,ctrl,ctrl2,3,5.88
18,3dp,3dp1,2,3.92
18,3dp,3dp2,5,9.8
18,7dp,7dp1,4,7.84
18,7dp,7dp2,6,11.76
18,10dp,10dp1,22,43.14
18,10dp,10dp2,9,17.65
19,ctrl,ctrl1,5,3.88
19,ctrl,ctrl2,12,9.3
19,3dp,3dp1,23,17.83
19,3dp,3dp2,20,15.5
19,7dp,7dp1,17,13.18
19,7dp,7dp2,9,6.98
19,10dp,10dp1,19,14.73
19,10dp,10dp2,24,18.6
