cell_type,comparison,n_cells_test,n_cells_reference,gene,score,logfoldchange,pval,pval_adj
Cones,3dp_vs_ctrl,677,652,rbp4l,12.0973835,1.1700189,1.090306416389285e-33,2.18061283277857e-30
Cones,3dp_vs_ctrl,677,652,guca1c,7.8822536,0.71119124,3.215279531109739e-15,2.1435196874064926e-12
Cones,3dp_vs_ctrl,677,652,apoc1,7.367417,2.5636625,1.7396592259477538e-13,8.698296129738769e-11
Cones,3dp_vs_ctrl,677,652,rcvrn3,7.0677505,1.010089,1.5746535131079402e-12,5.248845043693134e-10
Cones,3dp_vs_ctrl,677,652,apoeb,6.940864,1.2295672,3.897087939865515e-12,1.1134536971044328e-09
Cones,3dp_vs_ctrl,677,652,txn,6.423239,2.0636284,1.3340468206700403e-10,2.9645484903778676e-08
Cones,3dp_vs_ctrl,677,652,hsp70l,5.5245976,0.78770185,3.302416995458802e-08,5.50402832576467e-06
Cones,3dp_vs_ctrl,677,652,hsp70.1,5.301063,0.8987279,1.1513031043002706e-07,1.7712355450773394e-05
Cones,3dp_vs_ctrl,677,652,arr3a,5.1274967,0.6170594,2.936200029475628e-07,3.902771604783878e-05
Cones,3dp_vs_ctrl,677,652,ank3a,5.122064,1.0388782,3.022094404944013e-07,3.902771604783878e-05
Cones,3dp_vs_ctrl,677,652,ndrg1b,5.094042,0.43543383,3.505096863844518e-07,4.1236433692288445e-05
Cones,3dp_vs_ctrl,677,652,hsp70.2,5.0107613,0.81355554,5.421512786233406e-07,5.8985842349245726e-05
Cones,3dp_vs_ctrl,677,652,BX908782.2,5.0043993,2.7365127,5.603655023178344e-07,5.8985842349245726e-05
Cones,3dp_vs_ctrl,677,652,hmgn2,4.543176,0.6800079,5.541294059034332e-06,0.0005037540053667575
Cones,3dp_vs_ctrl,677,652,si:ch211-81a5.8,4.5195146,0.5749691,6.198163227038469e-06,0.0005389707153946495
Cones,3dp_vs_ctrl,677,652,lgals2a,4.4192204,2.6026103,9.90575224405892e-06,0.0007614264706432783
Cones,3dp_vs_ctrl,677,652,fabp7a,4.415432,0.6790735,1.0080855056229963e-05,0.0007614264706432783
Cones,3dp_vs_ctrl,677,652,tmsb4x,4.4112144,0.59432167,1.0279257353684258e-05,0.0007614264706432783
Cones,3dp_vs_ctrl,677,652,gpx1a,4.373899,0.88596076,1.2204693674323559e-05,0.0008417030120223143
Cones,3dp_vs_ctrl,677,652,mmp9,4.314137,2.2250004,1.60227447275371e-05,0.0010414451104304814
Cones,3dp_vs_ctrl,677,652,si:ch211-222l21.1,4.312493,0.69115776,1.614239921167246e-05,0.0010414451104304814
Cones,3dp_vs_ctrl,677,652,crabp1a,4.278895,1.0475191,1.8782350396965648e-05,0.001173896899810353
Cones,3dp_vs_ctrl,677,652,icn,4.222779,0.9303847,2.4130844235109983e-05,0.0014624754081884836
