group,n_egfp_pos,n_egfp_neg,gene,score,logfoldchange,pval,pval_adj
Muller glia,205,1602,EGFP,23.343695,31.074837,1.5971446578499002e-120,3.6435661079529775e-116
Muller glia,205,1602,krt8,10.520834,1.597504,6.925803532104463e-26,7.899917798894955e-22
Muller glia,205,1602,qki2,10.360404,1.4979179,3.753732882321989e-25,2.854463608147051e-21
Muller glia,205,1602,psph,10.225705,1.920445,1.5211613567537617e-24,8.675563507905891e-21
Muller glia,205,1602,htra1b,10.123633,1.971674,4.339991792301332e-24,1.7475859430246662e-20
Muller glia,205,1602,STMP1,10.118018,1.4766517,4.5962896848936995e-24,1.7475859430246662e-20
Muller glia,205,1602,myl6,10.059874,1.5063431,8.310488380487229e-24,2.708388163200788e-20
Muller glia,205,1602,txn,10.031796,1.7712616,1.1048747875937852e-23,3.1506885661721274e-20
Muller glia,205,1602,lmbrd1,9.897738,1.7752961,4.257962249540554e-23,1.0792988088752074e-19
Muller glia,205,1602,bbip1,9.87087,1.448074,5.567986031983039e-23,1.2702246534762909e-19
Muller glia,205,1602,sgk1,9.749179,1.4126571,1.8596632929882052e-22,3.856772609358175e-19
Muller glia,205,1602,polr2k,9.673549,1.5121602,3.905938078348507e-22,7.425513781780374e-19
Muller glia,205,1602,pgk1,9.583774,1.4397337,9.356264194856413e-22,1.6418804236712259e-18
Muller glia,205,1602,crabp2b,9.561383,1.5174004,1.1619345804795959e-21,1.7940534532466608e-18
Muller glia,205,1602,sqstm1,9.559819,1.5482526,1.1796257308858944e-21,1.7940534532466608e-18
Muller glia,205,1602,serpinb1,9.517171,1.6254815,1.7795816567741293e-21,2.4276053515422645e-18
Muller glia,205,1602,CDPF1,9.515465,1.2724496,1.809025160049906e-21,2.4276053515422645e-18
Muller glia,205,1602,mylipa,9.44609,1.646735,3.517252481782627e-21,4.457726714828171e-18
Muller glia,205,1602,mtmr10,9.433153,1.5459855,3.9794328485836314e-21,4.778042188144125e-18
Muller glia,205,1602,anxa11b,9.401806,1.2671117,5.3634296436233845e-21,6.1177960229990135e-18
Muller glia,205,1602,cdc14ab,9.390789,1.2065557,5.955261727130715e-21,6.4693993229063334e-18
Muller glia,205,1602,s100a10b,9.381335,1.6253071,6.5142646636213e-21,6.754996353236033e-18
Muller glia,205,1602,vapal,9.376146,1.1785524,6.842828124239202e-21,6.787192956446475e-18
Muller glia,205,1602,wfdc2,9.364489,1.519817,7.64193396179496e-21,7.263976644601183e-18
Muller glia,205,1602,pno1,9.347359,1.4044844,8.986413208787154e-21,8.200281781282454e-18
Muller glia,205,1602,arpc3,9.334635,1.3110698,1.013400310962236e-20,8.891808189992881e-18
Muller glia,205,1602,sdhdb,9.329446,1.178283,1.0642585628482903e-20,8.992196516391869e-18
Muller glia,205,1602,fam162a,9.3185,1.3891379,1.1799727718078409e-20,9.613828158304384e-18
Muller glia,205,1602,vma21,9.30933,1.3154463,1.2864130559137232e-20,1.0119634842951643e-17
Muller glia,205,1602,sod2,9.302364,1.2637287,1.3735709266244468e-20,1.0326753744787189e-17
Muller glia,205,1602,ssx2ipa,9.30009,1.4871377,1.4032760535151136e-20,1.0326753744787189e-17
Muller glia,205,1602,kifc3,9.2596445,1.2813514,2.051142380414411e-20,1.4622722226373112e-17
Muller glia,205,1602,chmp5b,9.253816,1.4103451,2.1661833274021415e-20,1.4974890984250015e-17
Muller glia,205,1602,sri,9.241945,1.2099894,2.4205604799253802e-20,1.5812247905932966e-17
