integrated_cluster,n_cells,majority_cell_type,purity,second_type,second_frac
0,3793,Rods,0.74,Rods (low quality),0.245
5,1806,Cones,0.822,Muller glia,0.089
12,1611,Muller glia,0.877,Rods (low quality),0.045
2,1484,Rods,0.968,Muller glia,0.012
8,1262,Bipolar cells,0.812,Amacrine cells,0.09
15,1079,Cones,0.985,Rods,0.006
13,944,Amacrine cells,0.875,Retinal ganglion cells,0.068
7,930,Microglia,0.7,Unresolved,0.275
6,825,RPE,0.985,Rods (low quality),0.006
3,612,Horizontal cells,0.964,Muller glia,0.031
11,311,Amacrine cells,0.926,Muller glia,0.026
4,205,Erythrocytes,0.98,Rods (low quality),0.005
9,200,Bipolar cells,0.965,Amacrine cells,0.015
18,182,Bipolar cells,0.978,Muller glia,0.011
20,180,Bipolar cells,0.95,Amacrine cells,0.039
19,133,Oligodendrocytes,0.94,Muller glia,0.023
10,91,Bipolar cells,0.967,Amacrine cells,0.022
16,68,Unresolved,0.985,Rods (low quality),0.015
17,61,Pericytes,0.82,Muller glia,0.131
14,61,Bipolar cells,0.984,Rods,0.016
21,39,Retinal ganglion cells,0.615,Muller glia,0.154
1,16,Unresolved,0.938,Rods,0.062
