cell_type,ctrl,3dp,7dp,10dp,analysis
Muller glia,8.39,11.32,10.6,13.3,uncorrected
Rods,11.89,34.1,26.7,29.16,uncorrected
Cones,25.92,16.27,12.77,14.74,uncorrected
Bipolar cells,26.36,10.36,8.08,6.61,uncorrected
Amacrine cells,8.91,4.54,10.06,8.85,uncorrected
Horizontal cells,9.66,3.68,4.21,2.9,uncorrected
Retinal ganglion cells,0.4,0.12,0.89,0.89,uncorrected
Microglia,2.23,3.99,4.88,4.68,uncorrected
Oligodendrocytes,0.68,1.03,0.7,0.78,uncorrected
Erythrocytes,0.2,2.11,0.83,1.42,uncorrected
Pericytes,0.12,0.17,0.27,0.56,uncorrected
RPE,4.06,2.91,5.98,7.3,uncorrected
Unresolved,0.6,3.97,1.42,2.4,uncorrected
Rods (low quality),0.6,5.43,12.61,6.39,uncorrected
Amacrine cells,9.66,4.47,9.71,8.45,integrated
Bipolar cells,26.44,11.25,9.85,8.67,integrated
Cones,27.95,17.66,14.68,16.39,integrated
Erythrocytes,0.24,2.11,0.83,1.46,integrated
Horizontal cells,7.0,3.12,4.0,2.86,integrated
Microglia,2.62,7.71,5.77,5.97,integrated
Muller glia,7.99,10.31,9.23,11.6,integrated
Oligodendrocytes,0.68,1.18,0.67,0.77,integrated
Pericytes,0.12,0.24,0.27,0.69,integrated
RPE,4.06,2.86,5.98,6.94,integrated
Retinal ganglion cells,0.36,0.26,0.21,0.2,integrated
Rods,12.56,38.5,38.18,35.26,integrated
Unresolved,0.32,0.31,0.62,0.73,integrated
