cell_type,comparison,n_cells_test,n_cells_reference,gene,score,logfoldchange,pval,pval_adj
Rods,3dp_vs_ctrl,1419,299,rbp4l,17.44488,2.244147,3.765062832562217e-68,7.530125665124433e-65
Rods,3dp_vs_ctrl,1419,299,guca1a,13.506599,2.9814777,1.429748518483967e-41,1.4297485184839668e-38
Rods,3dp_vs_ctrl,1419,299,mt-co2,12.290726,1.7739431,1.0158989347986509e-34,6.772659565324339e-32
Rods,3dp_vs_ctrl,1419,299,apoc1,8.546004,3.9681532,1.2742310295986157e-17,6.371155147993078e-15
Rods,3dp_vs_ctrl,1419,299,ppdpfa,7.487775,0.6807881,7.005097531176068e-14,2.3350325103920225e-11
Rods,3dp_vs_ctrl,1419,299,rho,7.222448,0.27084938,5.10599220260221e-13,1.2764980506505525e-10
Rods,3dp_vs_ctrl,1419,299,apoeb,6.6363173,2.396442,3.216173851331229e-11,7.147053002958287e-09
Rods,3dp_vs_ctrl,1419,299,tmsb4x,5.3645177,1.1395613,8.116575686580792e-08,1.352762614430132e-05
Rods,3dp_vs_ctrl,1419,299,aplp2,4.9162135,0.9895404,8.823424866855137e-07,0.0001357449979516175
Rods,3dp_vs_ctrl,1419,299,arr3a,4.268256,1.2049748,1.9700696056883878e-05,0.002188966228542653
Rods,3dp_vs_ctrl,1419,299,actb2,3.2711475,0.64872426,0.0010711200895603809,0.08239385304310623
Rods,3dp_vs_ctrl,1419,299,fabp7a,2.6537828,1.2284219,0.007959501726974233,0.48487512279064393
Rods,3dp_vs_ctrl,1419,299,si:ch211-222l21.1,2.6520512,2.7558682,0.008000439526045625,0.48487512279064393
Rods,3dp_vs_ctrl,1419,299,actb1,2.61062,1.538519,0.009037826480831216,0.5199440855322707
Rods,3dp_vs_ctrl,1419,299,hmgn2,2.6083112,1.0429289,0.009099021496814737,0.5199440855322707
Rods,3dp_vs_ctrl,1419,299,FAT4,2.5344274,1.670079,0.011263124647161246,0.6088175484952025
Rods,3dp_vs_ctrl,1419,299,rcvrn3,2.33439,1.4460665,0.01957530890768671,0.9787654453843355
Rods,3dp_vs_ctrl,1419,299,grn1,2.0518749,27.66496,0.04018182900911996,1.0
Rods,3dp_vs_ctrl,1419,299,mb,1.9047489,1.0674168,0.056812723736828816,1.0
Rods,3dp_vs_ctrl,1419,299,icn,1.8795438,1.545123,0.06017028371629877,1.0
Rods,3dp_vs_ctrl,1419,299,trpm1b,1.8699235,1.2930269,0.061494442452924195,1.0
Rods,3dp_vs_ctrl,1419,299,ctsd,1.8487589,2.5248175,0.06449263344456091,1.0
Rods,3dp_vs_ctrl,1419,299,txn,1.762882,3.8013685,0.07792039613256083,1.0
Rods,3dp_vs_ctrl,1419,299,BX908782.2,1.5437323,3.3369741,0.12265320123131952,1.0
Rods,3dp_vs_ctrl,1419,299,ifi45,1.5436682,1.266281,0.12266874555505024,1.0
Rods,3dp_vs_ctrl,1419,299,guca1c,1.5171162,1.3472221,0.12923734557561656,1.0
Rods,3dp_vs_ctrl,1419,299,lgals2a,1.5001204,3.0998425,0.13358321581055074,1.0
Rods,3dp_vs_ctrl,1419,299,mmp9,1.4574064,27.021717,0.1450042264928087,1.0
Rods,3dp_vs_ctrl,1419,299,hbba1-1,1.4390638,2.4156148,0.15013245454294494,1.0
Rods,3dp_vs_ctrl,1419,299,gnb3b,1.2560221,0.30872977,0.20910794015625123,1.0
Rods,3dp_vs_ctrl,1419,299,abcf2b,1.2513403,1.7595335,0.21081035392851544,1.0
Rods,3dp_vs_ctrl,1419,299,ccl34b.1,1.2480053,1.3270788,0.21202913154631853,1.0
Rods,3dp_vs_ctrl,1419,299,crabp1a,1.2446061,1.5918881,0.21327657809566058,1.0
Rods,3dp_vs_ctrl,1419,299,ccm2l,1.24172,2.670392,0.21433988197572806,1.0
Rods,3dp_vs_ctrl,1419,299,lgals3bpb,1.231266,3.8521967,0.21822339660801449,1.0
Rods,3dp_vs_ctrl,1419,299,rbp3,1.2194651,0.2789845,0.2226677026264765,1.0
Rods,3dp_vs_ctrl,1419,299,marcksl1b,1.2193369,0.55533636,0.22271636365666903,1.0
Rods,3dp_vs_ctrl,1419,299,es1,1.2002246,0.39601645,0.23005212556682675,1.0
Rods,3dp_vs_ctrl,1419,299,pfn1,1.181433,1.9906284,0.23743075262963842,1.0
Rods,3dp_vs_ctrl,1419,299,hbaa1,1.1588575,4.138569,0.24651429762858612,1.0
Rods,3dp_vs_ctrl,1419,299,cabp5a,1.1442988,0.59605205,0.25249975209406184,1.0
Rods,3dp_vs_ctrl,1419,299,tuba8l,1.139232,4.187107,0.2546063609240521,1.0
Rods,3dp_vs_ctrl,1419,299,pde6c,1.093183,0.36074933,0.27431342274462567,1.0
Rods,3dp_vs_ctrl,1419,299,insb,1.0835629,1.3276124,0.2785586850495866,1.0
Rods,3dp_vs_ctrl,1419,299,psap,1.0055745,0.45139495,0.31462028929843977,1.0
Rods,3dp_vs_ctrl,1419,299,hsp70l,1.0028808,1.2371198,0.31591835917594624,1.0
Rods,3dp_vs_ctrl,1419,299,hsp70.3,1.0000589,3.3946583,0.3172820080902278,1.0
Rods,3dp_vs_ctrl,1419,299,pik3ip1,0.9965956,0.8930188,0.3189608443385321,1.0
Rods,3dp_vs_ctrl,1419,299,pho,0.98370445,1.6492621,0.3252608572758616,1.0
Rods,3dp_vs_ctrl,1419,299,gnat2,0.97953564,0.23715831,0.32731538032590424,1.0
Rods,7dp_vs_ctrl,995,299,guca1a,17.555437,3.9895663,5.404968661952856e-69,1.080993732390571e-65
Rods,7dp_vs_ctrl,995,299,mt-co2,15.428171,2.2281024,1.0582728715907998e-53,1.0582728715907997e-50
Rods,7dp_vs_ctrl,995,299,rbp4l,11.600469,1.440738,4.098270685966453e-31,2.7321804573109684e-28
Rods,7dp_vs_ctrl,995,299,fabp7a,10.322451,3.4464457,5.578111922046336e-25,2.5468449295502347e-22
Rods,7dp_vs_ctrl,995,299,rho,10.309743,0.49078676,6.367112323875587e-25,2.5468449295502347e-22
Rods,7dp_vs_ctrl,995,299,hsp70l,7.900454,4.536677,2.7788957940500393e-15,6.947239485125098e-13
